GROUPS,DAYS,LATENCY,PercentLATENCY,Blocks,DISTANCE,PercentDISTANCE
2N,1,128,100,Block1,1066,100
2N,1,141,100,Block1,846,100
2N,1,128,100,Block1,818,100
2N,1,118,100,Block1,693,100
2N,1,115,100,Block1,793,100
Ts65Dn,1,159,100,Block1,848,100
Ts65Dn,1,150,100,Block1,1095,100
Ts65Dn,1,178,100,Block1,902,100
Ts65Dn,1,179,100,Block1,1170,100
Ts65Dn,1,183,100,Block1,1077,100
2N,2,61,47.65625,Block2,630,59.09943715
2N,2,74,52.4822695,Block2,455,53.78250591
2N,2,61,47.65625,Block2,628,76.77261614
2N,2,51,43.22033898,Block2,703,101.4430014
2N,2,48,41.73913043,Block2,344,43.37957125
Ts65Dn,2,92,57.86163522,Block2,687,81.01415094
Ts65Dn,2,105,70,Block2,905,82.64840183
Ts65Dn,2,111,62.35955056,Block2,1075,119.1796009
Ts65Dn,2,112,62.5698324,Block2,913,78.03418803
Ts65Dn,2,116,63.38797814,Block2,657,61.00278552
2N,3,35,27.34375,Block3,429,40.24390244
2N,3,48,34.04255319,Block3,500,59.10165485
2N,3,35,27.34375,Block3,265,32.39608802
2N,3,25,21.18644068,Block3,342,49.35064935
2N,3,22,19.13043478,Block3,248,31.27364439
Ts65Dn,3,66,41.50943396,Block3,590,69.5754717
Ts65Dn,3,77,51.33333333,Block3,937,85.57077626
Ts65Dn,3,85,47.75280899,Block3,681,75.49889135
Ts65Dn,3,86,48.04469274,Block3,728,62.22222222
Ts65Dn,3,90,49.18032787,Block3,719,66.75951718
2N,4,16,12.5,Block4,360,33.77110694
2N,4,9,6.382978723,Block4,257,30.37825059
2N,4,19,14.84375,Block4,145,17.72616137
2N,4,6,5.084745763,Block4,322,46.46464646
2N,4,3,2.608695652,Block4,334,42.1185372
Ts65Dn,4,47,29.55974843,Block4,740,87.26415094
Ts65Dn,4,38,25.33333333,Block4,594,54.24657534
Ts65Dn,4,66,37.07865169,Block4,648,71.84035477
Ts65Dn,4,67,37.4301676,Block4,500,42.73504274
Ts65Dn,4,71,38.79781421,Block4,700,64.99535747
