GROUPS,DAYS,LATENCY,PercentLATENCY,Blocks,DISTANCE,PercentDISTANCE
2N,1,128,100,Block1,1066,100
2N,1,141,100,Block1,846,100
2N,1,128,100,Block1,818,100
2N,1,118,100,Block1,693,100
2N,1,115,100,Block1,793,100
Ts65Dn,1,159,100,Block1,848,100
Ts65Dn,1,150,100,Block1,1095,100
Ts65Dn,1,178,100,Block1,902,100
Ts65Dn,1,179,100,Block1,1170,100
Ts65Dn,1,183,100,Block1,1077,100
2N,1,129,100,Block1,1099,100
2N,1,152,100,Block1,901,100
2N,1,120,100,Block1,802,100
2N,1,114,100,Block1,683,100
2N,1,119,100,Block1,749,100
Ts65Dn,1,165,100,Block1,948,100
Ts65Dn,1,170,100,Block1,1157,100
Ts65Dn,1,180,100,Block1,1021,100
Ts65Dn,1,176,100,Block1,1099,100
Ts65Dn,1,194,100,Block1,1201,100
2N,2,61,47.65625,Block2,630,59.09943715
2N,2,74,52.4822695,Block2,455,53.78250591
2N,2,61,47.65625,Block2,628,76.77261614
2N,2,51,43.22033898,Block2,703,101.4430014
2N,2,48,41.73913043,Block2,344,43.37957125
Ts65Dn,2,92,57.86163522,Block2,687,81.01415094
Ts65Dn,2,105,70,Block2,905,82.64840183
Ts65Dn,2,111,62.35955056,Block2,1075,119.1796009
Ts65Dn,2,112,62.5698324,Block2,913,78.03418803
Ts65Dn,2,116,63.38797814,Block2,657,61.00278552
2N,2,68,53.125,Block2,670,62.85178236
2N,2,70,49.64539007,Block2,509,60.16548463
2N,2,59,46.09375,Block2,639,78.11735941
2N,2,49,41.52542373,Block2,718,103.6075036
2N,2,99,86.08695652,Block2,399,50.31525851
Ts65Dn,2,118,74.21383648,Block2,794,93.63207547
Ts65Dn,2,123,82,Block2,1078,98.44748858
Ts65Dn,2,111,62.35955056,Block2,1107,122.7272727
Ts65Dn,2,100,55.86592179,Block2,1001,85.55555556
Ts65Dn,2,128,69.94535519,Block2,902,83.75116063
2N,3,35,27.34375,Block3,429,40.24390244
2N,3,48,34.04255319,Block3,500,59.10165485
2N,3,35,27.34375,Block3,265,32.39608802
2N,3,25,21.18644068,Block3,342,49.35064935
2N,3,22,19.13043478,Block3,248,31.27364439
Ts65Dn,3,66,41.50943396,Block3,590,69.5754717
Ts65Dn,3,77,51.33333333,Block3,937,85.57077626
Ts65Dn,3,85,47.75280899,Block3,681,75.49889135
Ts65Dn,3,86,48.04469274,Block3,728,62.22222222
Ts65Dn,3,90,49.18032787,Block3,719,66.75951718
2N,3,39,30.46875,Block3,487,45.684803
2N,3,40,28.36879433,Block3,503,59.45626478
2N,3,22,17.1875,Block3,322,39.36430318
2N,3,18,15.25423729,Block3,294,42.42424242
2N,3,31,26.95652174,Block3,309,38.96595208
Ts65Dn,3,69,43.39622642,Block3,607,71.58018868
Ts65Dn,3,78,52,Block3,854,77.99086758
Ts65Dn,3,91,51.12359551,Block3,681,75.49889135
Ts65Dn,3,81,45.25139665,Block3,718,61.36752137
Ts65Dn,3,74,40.43715847,Block3,801,74.37325905
2N,4,16,12.5,Block4,360,33.77110694
2N,4,9,6.382978723,Block4,257,30.37825059
2N,4,19,14.84375,Block4,145,17.72616137
2N,4,6,5.084745763,Block4,322,46.46464646
2N,4,3,2.608695652,Block4,334,42.1185372
Ts65Dn,4,47,29.55974843,Block4,740,87.26415094
Ts65Dn,4,38,25.33333333,Block4,594,54.24657534
Ts65Dn,4,66,37.07865169,Block4,648,71.84035477
Ts65Dn,4,67,37.4301676,Block4,500,42.73504274
Ts65Dn,4,71,38.79781421,Block4,700,64.99535747
2N,4,18,14.0625,Block4,325,30.48780488
2N,4,12,8.510638298,Block4,228,26.95035461
2N,4,10,7.8125,Block4,179,21.88264059
2N,4,5,4.237288136,Block4,401,57.86435786
2N,4,8,6.956521739,Block4,723,91.17276166
Ts65Dn,4,34,21.3836478,Block4,428,50.47169811
Ts65Dn,4,61,40.66666667,Block4,501,45.75342466
Ts65Dn,4,49,27.52808989,Block4,455,50.44345898
Ts65Dn,4,55,30.72625698,Block4,389,33.24786325
Ts65Dn,4,28,15.30054645,Block4,789,73.25905292
