RUNGWALK,GROUP
30,HIGH_CGG
28,HIGH_CGG
22,HIGH_CGG
30,HIGH_CGG
35,HIGH_CGG
24,HIGH_CGG
22,HIGH_CGG
24,HIGH_CGG
18,HIGH_CGG
17,HIGH_CGG
20,HIGH_CGG
27,HIGH_CGG
25,HIGH_CGG
26,HIGH_CGG
22,HIGH_CGG
21,HIGH_CGG
24,HIGH_CGG
23,HIGH_CGG
18,HIGH_CGG
20,HIGH_CGG
20,HIGH_CGG
26,HIGH_CGG
29,HIGH_CGG
26,HIGH_CGG
27,HIGH_CGG
37,HIGH_CGG
25,HIGH_CGG
27,HIGH_CGG
22,HIGH_CGG
21,HIGH_CGG
23,HIGH_CGG
24,HIGH_CGG
24,HIGH_CGG
22,LOW_CGG
25,LOW_CGG
22,LOW_CGG
15,LOW_CGG
19,LOW_CGG
14,LOW_CGG
16,LOW_CGG
17,LOW_CGG
22,LOW_CGG
10,WT
17,WT
15,WT
15,WT
11,WT
10,WT
17,WT
11,WT
7,WT
13,WT
12,WT
17,WT
9,WT
7,WT
9,WT
10,WT
8,WT
12,WT
20,WT
10,WT
25,WT
10,WT
9,WT
13,WT
13,WT
8,WT
13,WT
11,WT
16,WT
9,WT
15,WT
23,WT
12,WT
19,WT
22,WT
23,WT
14,WT
9,WT
10,WT
11,WT
13,WT
7,2N
11,2N
6,2N
10,2N
12,2N
5,2N
4,2N
19,Ts65Dn
21,Ts65Dn
18,Ts65Dn
15,Ts65Dn
18,Ts65Dn
17,Ts65Dn
15,Ts65Dn
